Packet ID,10
Packet Ground Date Time,24/09/2019 16:56:26
Packet Sat Date Time,30/06/2019 02:06:28
Packet Total Raw Data,1D-6D-00-90-00-07-00-00-08-9C-08-A1-00-19-00-1A-00-19-00-19-00-18-00-18-00-FB-00-B9-00-41-00-3A-00-00-00-00-00-00-00-03-00-00-00-00-06-5D-18-15-46-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-6D,7533,mv
batt_curr,00-90,144,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-9C,26.57894,deg c
patrxvu_temp,08-A1,26.19549,deg c
eps_temp[0],00-19,25,deg c
eps_temp[1],00-1A,26,deg c
eps_temp[2],00-19,25,deg c
eps_temp[3],00-19,25,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-FB,-18948.648,hz
rxrssi,00-B9,-146.45,dbm
txrefl,00-41,65,mw
txfrow,00-3A,58,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-06,6,none
last_resets,5D-18-15-46,30/06/2019 01:49:58,sec
states,70,112,none
