Packet ID,101
Packet Ground Date Time,24/09/2019 17:50:08
Packet Sat Date Time,30/06/2019 02:41:46
Packet Total Raw Data,1D-7F-00-78-00-07-00-00-08-AB-08-B0-00-18-00-19-00-18-00-18-00-18-00-18-00-F4-00-93-00-40-00-39-00-00-00-00-00-00-00-03-00-00-00-00-06-5D-18-15-46-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-7F,7551,mv
batt_curr,00-78,120,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-AB,25.42859,deg c
patrxvu_temp,08-B0,25.04514,deg c
eps_temp[0],00-18,24,deg c
eps_temp[1],00-19,25,deg c
eps_temp[2],00-18,24,deg c
eps_temp[3],00-18,24,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-F4,-19042.112,hz
rxrssi,00-93,-147.59,dbm
txrefl,00-40,64,mw
txfrow,00-39,57,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-06,6,none
last_resets,5D-18-15-46,30/06/2019 01:49:58,sec
states,70,112,none
