Packet ID,2203
Packet Ground Date Time,24/09/2019 16:26:44
Packet Sat Date Time,30/06/2019 01:37:35
Packet Total Raw Data,1C-3D-02-48-00-07-00-00-08-75-07-C4-00-18-00-19-00-18-00-18-00-17-00-17-00-FA-00-8A-00-CE-00-FF-00-00-00-00-00-00-00-02-00-00-00-00-04-5D-18-06-46-60

Parameter Name,Raw Data,Value,Unit
vbatt,1C-3D,7229,mv
batt_curr,02-48,584,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-75,29.56985,deg c
patrxvu_temp,07-C4,43.14398,deg c
eps_temp[0],00-18,24,deg c
eps_temp[1],00-19,25,deg c
eps_temp[2],00-18,24,deg c
eps_temp[3],00-18,24,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-FA,-18962,hz
rxrssi,00-8A,-147.86,dbm
txrefl,00-CE,206,mw
txfrow,00-FF,255,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,02,2,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-04,4,none
last_resets,5D-18-06-46,30/06/2019 00:45:58,sec
states,60,96,none
