Packet ID,2212
Packet Ground Date Time,24/09/2019 16:31:33
Packet Sat Date Time,30/06/2019 01:41:22
Packet Total Raw Data,1C-2A-02-5F-00-09-00-00-08-2F-07-6D-00-18-00-19-00-18-00-18-00-18-00-18-00-D6-00-BD-00-D6-00-FF-00-00-00-00-00-00-00-02-00-00-00-00-05-5D-18-12-76-60

Parameter Name,Raw Data,Value,Unit
vbatt,1C-2A,7210,mv
batt_curr,02-5F,607,ma
3v3_curr,00-09,9,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-2F,34.93815,deg c
patrxvu_temp,07-6D,49.81601,deg c
eps_temp[0],00-18,24,deg c
eps_temp[1],00-19,25,deg c
eps_temp[2],00-18,24,deg c
eps_temp[3],00-18,24,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-D6,-19442.672,hz
rxrssi,00-BD,-146.33,dbm
txrefl,00-D6,214,mw
txfrow,00-FF,255,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,02,2,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-05,5,none
last_resets,5D-18-12-76,30/06/2019 01:37:58,sec
states,60,96,none
