Packet ID,2217
Packet Ground Date Time,24/09/2019 16:37:11
Packet Sat Date Time,30/06/2019 01:47:46
Packet Total Raw Data,1D-6D-00-78-00-07-00-00-08-83-08-88-00-19-00-19-00-19-00-19-00-18-00-18-00-03-00-96-00-41-00-3A-00-00-00-00-00-00-00-03-00-00-00-00-05-5D-18-12-76-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-6D,7533,mv
batt_curr,00-78,120,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-83,28.49619,deg c
patrxvu_temp,08-88,28.11274,deg c
eps_temp[0],00-19,25,deg c
eps_temp[1],00-19,25,deg c
eps_temp[2],00-19,25,deg c
eps_temp[3],00-19,25,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-03,-22259.944,hz
rxrssi,00-96,-147.5,dbm
txrefl,00-41,65,mw
txfrow,00-3A,58,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-05,5,none
last_resets,5D-18-12-76,30/06/2019 01:37:58,sec
states,70,112,none
