Packet ID,2226
Packet Ground Date Time,24/09/2019 16:40:09
Packet Sat Date Time,30/06/2019 01:50:11
Packet Total Raw Data,1C-33-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-06-5D-18-15-46-60

Parameter Name,Raw Data,Value,Unit
vbatt,1C-33,7219,mv
batt_curr,00-00,0,ma
3v3_curr,00-00,0,ma
5v_curr,00-00,0,ma
lotrxvu_temp,00-00,195.6037,deg c
patrxvu_temp,00-00,195.6037,deg c
eps_temp[0],00-00,0,deg c
eps_temp[1],00-00,0,deg c
eps_temp[2],00-00,0,deg c
eps_temp[3],00-00,0,deg c
batt_temp[0],00-00,0,deg c
batt_temp[1],00-00,0,deg c
rxdoppler,00-00,-22300,hz
rxrssi,00-00,-152,dbm
txrefl,00-00,0,mw
txfrow,00-00,0,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,00,0,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-06,6,none
last_resets,5D-18-15-46,30/06/2019 01:49:58,sec
states,60,96,none
