Packet ID,2630
Packet Ground Date Time,24/09/2019 16:44:26
Packet Sat Date Time,30/06/2019 01:54:28
Packet Total Raw Data,1C-2A-02-54-00-07-00-00-08-21-07-5E-00-19-00-1A-00-19-00-19-00-18-00-18-00-DE-00-6F-00-A1-00-FF-00-00-00-00-00-00-00-02-00-00-00-00-06-5D-18-15-46-60

Parameter Name,Raw Data,Value,Unit
vbatt,1C-2A,7210,mv
batt_curr,02-54,596,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-21,36.01181,deg c
patrxvu_temp,07-5E,50.96636,deg c
eps_temp[0],00-19,25,deg c
eps_temp[1],00-1A,26,deg c
eps_temp[2],00-19,25,deg c
eps_temp[3],00-19,25,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-DE,-19335.856,hz
rxrssi,00-6F,-148.67,dbm
txrefl,00-A1,161,mw
txfrow,00-FF,255,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,02,2,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-06,6,none
last_resets,5D-18-15-46,30/06/2019 01:49:58,sec
states,60,96,none
