Packet ID,2633
Packet Ground Date Time,24/09/2019 16:46:45
Packet Sat Date Time,30/06/2019 01:56:48
Packet Total Raw Data,1D-7F-00-84-00-0B-00-00-08-2D-08-13-00-19-00-1A-00-19-00-19-00-18-00-18-00-E3-00-80-00-42-00-3D-00-00-00-00-00-00-00-03-00-00-00-00-06-5D-18-15-46-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-7F,7551,mv
batt_curr,00-84,132,ma
3v3_curr,00-0B,11,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-2D,35.09153,deg c
patrxvu_temp,08-13,37.08547,deg c
eps_temp[0],00-19,25,deg c
eps_temp[1],00-1A,26,deg c
eps_temp[2],00-19,25,deg c
eps_temp[3],00-19,25,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-E3,-19269.096,hz
rxrssi,00-80,-148.16,dbm
txrefl,00-42,66,mw
txfrow,00-3D,61,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-06,6,none
last_resets,5D-18-15-46,30/06/2019 01:49:58,sec
states,70,112,none
