Packet ID,2640
Packet Ground Date Time,24/09/2019 16:49:25
Packet Sat Date Time,30/06/2019 01:59:27
Packet Total Raw Data,1D-76-00-90-00-07-00-00-08-73-08-7A-00-19-00-1A-00-19-00-19-00-18-00-18-00-09-00-3B-00-40-00-3B-00-00-00-00-00-00-00-03-00-00-00-00-06-5D-18-15-46-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-76,7542,mv
batt_curr,00-90,144,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-73,29.72323,deg c
patrxvu_temp,08-7A,29.1864,deg c
eps_temp[0],00-19,25,deg c
eps_temp[1],00-1A,26,deg c
eps_temp[2],00-19,25,deg c
eps_temp[3],00-19,25,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-09,-22179.832,hz
rxrssi,00-3B,-150.23,dbm
txrefl,00-40,64,mw
txfrow,00-3B,59,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-06,6,none
last_resets,5D-18-15-46,30/06/2019 01:49:58,sec
states,70,112,none
