Packet ID,1013
Packet Ground Date Time,18/12/2019 08:17:59
Packet Sat Date Time,01/01/1970 01:01:01
Packet Total Raw Data,00-12-12-12-12-12-12-12-3C-5D-F9-E0-7C-5D-F9-D2-6C

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],12,18,none
file type [1],12,18,none
file type [2],12,18,none
file type [3],12,18,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,3C,60,sec
unix start time,5D-F9-E0-7C,18/12/2019 08:17:00,seconds
unix end time,5D-F9-D2-6C,18/12/2019 07:17:00,seconds
