Packet ID,1017
Packet Ground Date Time,20/12/2019 06:29:29
Packet Sat Date Time,01/01/1970 00:00:00
Packet Total Raw Data,00-8C-93-97-9B-BE-12-12-3C-5D-F8-8B-00-5D-F9-A4-40

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],8C,140,none
file type [1],93,147,none
file type [2],97,151,none
file type [3],9B,155,none
file type [4],BE,190,none
file type [5],12,18,none
file type [6],12,18,none
resolution,3C,60,sec
unix start time,5D-F8-8B-00,17/12/2019 08:00:00,seconds
unix end time,5D-F9-A4-40,18/12/2019 04:00:00,seconds
