Packet ID,1017
Packet Ground Date Time,03/01/2020 17:01:43
Packet Sat Date Time,01/01/1970 01:01:01
Packet Total Raw Data,00-01-02-34-12-12-12-12-01-5E-0E-4B-FD-00-04-02-CD

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],01,1,none
file type [1],02,2,none
file type [2],34,52,none
file type [3],12,18,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,01,1,sec
unix start time,5E-0E-4B-FD,02/01/2020 20:01:01,seconds
unix end time,00-04-02-CD,04/01/1970 01:01:01,seconds
