Packet ID,1023
Packet Ground Date Time,17/12/2019 07:10:48
Packet Sat Date Time,01/01/1970 00:00:00
Packet Total Raw Data,00-00-01-12-12-12-12-12-01-5D-EE-E0-00-5D-F6-20-40

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],00,0,none
file type [1],01,1,none
file type [2],12,18,none
file type [3],12,18,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,01,1,sec
unix start time,5D-EE-E0-00,10/12/2019 00:00:00,seconds
unix end time,5D-F6-20-40,15/12/2019 12:00:00,seconds
