Packet ID,1040
Packet Ground Date Time,05/01/2020 15:22:56
Packet Sat Date Time,01/01/1970 01:01:01
Packet Total Raw Data,00-34-12-12-12-12-12-12-01-5E-0E-92-4D-5E-13-D8-4D

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],34,52,none
file type [1],12,18,none
file type [2],12,18,none
file type [3],12,18,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,01,1,sec
unix start time,5E-0E-92-4D,03/01/2020 01:01:01,seconds
unix end time,5E-13-D8-4D,07/01/2020 01:01:01,seconds
