Packet ID,1042
Packet Ground Date Time,31/12/2019 18:43:43
Packet Sat Date Time,01/01/1970 01:01:01
Packet Total Raw Data,00-01-02-34-12-12-12-12-01-5E-0A-8F-80-5E-0B-E1-00

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],01,1,none
file type [1],02,2,none
file type [2],34,52,none
file type [3],12,18,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,01,1,sec
unix start time,5E-0A-8F-80,31/12/2019 00:00:00,seconds
unix end time,5E-0B-E1-00,01/01/2020 00:00:00,seconds
