Packet ID,1042
Packet Ground Date Time,09/01/2020 17:01:44
Packet Sat Date Time,01/01/1970 01:01:01
Packet Total Raw Data,00-01-02-12-12-12-12-12-01-5E-0E-50-13-5E-17-65-8E

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],01,1,none
file type [1],02,2,none
file type [2],12,18,none
file type [3],12,18,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,01,1,sec
unix start time,5E-0E-50-13,02/01/2020 20:18:27,seconds
unix end time,5E-17-65-8E,09/01/2020 17:40:30,seconds
