Packet ID,1044
Packet Ground Date Time,14/01/2020 15:17:04
Packet Sat Date Time,01/01/1970 01:01:01
Packet Total Raw Data,00-33-12-12-12-12-12-12-01-5E-1D-DA-7C-5E-1D-DB-30

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],33,51,none
file type [1],12,18,none
file type [2],12,18,none
file type [3],12,18,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,01,1,sec
unix start time,5E-1D-DA-7C,14/01/2020 15:13:00,seconds
unix end time,5E-1D-DB-30,14/01/2020 15:16:00,seconds
