Packet ID,1100
Packet Ground Date Time,05/01/2020 18:45:48
Packet Sat Date Time,01/01/1970 00:00:00
Packet Total Raw Data,00-8C-93-97-9B-12-12-12-0A-5E-AB-CB-49-5E-AC-6E-2D

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],8C,140,none
file type [1],93,147,none
file type [2],97,151,none
file type [3],9B,155,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,0A,10,sec
unix start time,5E-AB-CB-49,01/05/2020 07:10:01,seconds
unix end time,5E-AC-6E-2D,01/05/2020 18:45:01,seconds
