Packet ID,1124
Packet Ground Date Time,02/01/2020 18:40:19
Packet Sat Date Time,01/01/1970 01:01:01
Packet Total Raw Data,00-01-02-12-12-12-12-12-01-5C-2A-BB-CD-5C-2D-5E-CD

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],01,1,none
file type [1],02,2,none
file type [2],12,18,none
file type [3],12,18,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,01,1,sec
unix start time,5C-2A-BB-CD,01/01/2019 01:01:01,seconds
unix end time,5C-2D-5E-CD,03/01/2019 01:01:01,seconds
