Packet ID,1145
Packet Ground Date Time,02/01/2020 20:18:59
Packet Sat Date Time,01/01/1970 01:01:01
Packet Total Raw Data,00-8C-93-9B-97-12-12-12-3C-5E-0E-05-AD-5E-36-1F-4D

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],8C,140,none
file type [1],93,147,none
file type [2],9B,155,none
file type [3],97,151,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,3C,60,sec
unix start time,5E-0E-05-AD,02/01/2020 15:01:01,seconds
unix end time,5E-36-1F-4D,02/02/2020 01:01:01,seconds
