Packet ID,1156
Packet Ground Date Time,25/12/2019 01:19:51
Packet Sat Date Time,01/01/1970 01:01:01
Packet Total Raw Data,00-34-12-12-12-12-12-12-01-5D-FE-C0-4D-5D-FF-F5-AD

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],34,52,none
file type [1],12,18,none
file type [2],12,18,none
file type [3],12,18,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,01,1,sec
unix start time,5D-FE-C0-4D,22/12/2019 01:01:01,seconds
unix end time,5D-FF-F5-AD,22/12/2019 23:01:01,seconds
