Packet ID,1191
Packet Ground Date Time,07/01/2020 15:17:50
Packet Sat Date Time,01/01/1970 00:00:00
Packet Total Raw Data,00-8C-93-97-9B-12-12-12-01-5E-AC-49-D9-5E-D5-26-3D

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],8C,140,none
file type [1],93,147,none
file type [2],97,151,none
file type [3],9B,155,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,01,1,sec
unix start time,5E-AC-49-D9,01/05/2020 16:10:01,seconds
unix end time,5E-D5-26-3D,01/06/2020 16:01:01,seconds
