Packet ID,1236
Packet Ground Date Time,14/01/2020 17:04:42
Packet Sat Date Time,01/01/1970 01:01:01
Packet Total Raw Data,00-00-12-12-12-12-12-12-01-5E-1D-CA-55-5E-1E-02-95

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],00,0,none
file type [1],12,18,none
file type [2],12,18,none
file type [3],12,18,none
file type [4],12,18,none
file type [5],12,18,none
file type [6],12,18,none
resolution,01,1,sec
unix start time,5E-1D-CA-55,14/01/2020 14:04:05,seconds
unix end time,5E-1E-02-95,14/01/2020 18:04:05,seconds
