Packet ID,1317
Packet Ground Date Time,15/01/2020 15:25:18
Packet Sat Date Time,01/01/1970 01:01:01
Packet Total Raw Data,00-01-02-00-34-00-00-00-01-5E-1E-64-4D-5E-1F-B5-CD

Parameter Name,Raw Data,Value,Unit
send type,00,0,none
file type [0],01,1,none
file type [1],02,2,none
file type [2],00,0,none
file type [3],34,52,none
file type [4],00,0,none
file type [5],00,0,none
file type [6],00,0,none
resolution,01,1,sec
unix start time,5E-1E-64-4D,15/01/2020 01:01:01,seconds
unix end time,5E-1F-B5-CD,16/01/2020 01:01:01,seconds
