Packet ID,106
Packet Ground Date Time,24/09/2019 17:50:08
Packet Sat Date Time,30/06/2019 02:47:12
Packet Total Raw Data,1D-6D-00-78-00-07-00-00-08-AD-08-B2-00-18-00-19-00-18-00-18-00-18-00-18-00-C6-00-D7-00-40-00-39-00-00-00-00-00-00-00-03-00-00-00-00-07-5D-18-22-3D-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-6D,7533,mv
batt_curr,00-78,120,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-AD,25.27521,deg c
patrxvu_temp,08-B2,24.89176,deg c
eps_temp[0],00-18,24,deg c
eps_temp[1],00-19,25,deg c
eps_temp[2],00-18,24,deg c
eps_temp[3],00-18,24,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-C6,-19656.304,hz
rxrssi,00-D7,-145.55,dbm
txrefl,00-40,64,mw
txfrow,00-39,57,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-07,7,none
last_resets,5D-18-22-3D,30/06/2019 02:45:17,sec
states,70,112,none
