Packet ID,2628
Packet Ground Date Time,24/09/2019 16:42:25
Packet Sat Date Time,30/06/2019 01:52:28
Packet Total Raw Data,1C-3D-02-5F-00-07-00-00-08-3A-07-80-00-19-00-1A-00-19-00-19-00-18-00-18-00-EE-00-94-00-B2-00-FF-00-00-00-00-00-00-00-02-00-00-00-00-06-5D-18-15-46-60

Parameter Name,Raw Data,Value,Unit
vbatt,1C-3D,7229,mv
batt_curr,02-5F,607,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-3A,34.09456,deg c
patrxvu_temp,07-80,48.3589,deg c
eps_temp[0],00-19,25,deg c
eps_temp[1],00-1A,26,deg c
eps_temp[2],00-19,25,deg c
eps_temp[3],00-19,25,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-EE,-19122.224,hz
rxrssi,00-94,-147.56,dbm
txrefl,00-B2,178,mw
txfrow,00-FF,255,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,02,2,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-06,6,none
last_resets,5D-18-15-46,30/06/2019 01:49:58,sec
states,60,96,none
