Packet ID,1216
Packet Ground Date Time,03/10/2019 01:50:55
Packet Sat Date Time,03/07/2019 11:31:33
Packet Total Raw Data,1E-3E-FF-FF-FF-FF-00-00-08-DB-08-E0-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-00-BD-00-A1-00-40-00-37-00-00-00-00-00-00-00-03-00-00-00-00-07-5D-1B-20-57-30

Parameter Name,Raw Data,Value,Unit
vbatt,1E-3E,7742,mv
batt_curr,FF-FF,65535,ma
3v3_curr,FF-FF,65535,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-DB,21.74747,deg c
patrxvu_temp,08-E0,21.36402,deg c
eps_temp[0],FF-FF,-1,deg c
eps_temp[1],FF-FF,-1,deg c
eps_temp[2],FF-FF,-1,deg c
eps_temp[3],FF-FF,-1,deg c
batt_temp[0],FF-FF,-1,deg c
batt_temp[1],FF-FF,-1,deg c
rxdoppler,00-BD,-19776.472,hz
rxrssi,00-A1,-147.17,dbm
txrefl,00-40,64,mw
txfrow,00-37,55,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-07,7,none
last_resets,5D-1B-20-57,02/07/2019 09:13:59,sec
states,30,48,none
