Packet ID,133
Packet Ground Date Time,02/10/2019 18:20:52
Packet Sat Date Time,03/07/2019 04:01:30
Packet Total Raw Data,1D-50-02-24-00-03-00-00-08-4C-07-7B-00-16-00-16-00-16-00-16-00-15-00-15-00-A0-00-FA-00-80-00-59-00-00-00-00-00-00-00-03-00-00-00-00-07-5D-1B-20-57-30

Parameter Name,Raw Data,Value,Unit
vbatt,1D-50,7504,mv
batt_curr,02-24,548,ma
3v3_curr,00-03,3,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-4C,32.71414,deg c
patrxvu_temp,07-7B,48.74235,deg c
eps_temp[0],00-16,22,deg c
eps_temp[1],00-16,22,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-16,22,deg c
batt_temp[0],00-15,21,deg c
batt_temp[1],00-15,21,deg c
rxdoppler,00-A0,-20163.68,hz
rxrssi,00-FA,-144.5,dbm
txrefl,00-80,128,mw
txfrow,00-59,89,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-07,7,none
last_resets,5D-1B-20-57,02/07/2019 09:13:59,sec
states,30,48,none
