Packet ID,144
Packet Ground Date Time,02/10/2019 18:25:12
Packet Sat Date Time,03/07/2019 04:05:49
Packet Total Raw Data,1E-48-00-78-00-03-00-00-08-A6-08-AD-00-16-00-17-00-16-00-16-00-15-00-15-00-AF-00-C6-00-41-00-39-00-00-00-00-00-00-00-03-00-00-00-00-07-5D-1B-20-57-30

Parameter Name,Raw Data,Value,Unit
vbatt,1E-48,7752,mv
batt_curr,00-78,120,ma
3v3_curr,00-03,3,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-A6,25.81204,deg c
patrxvu_temp,08-AD,25.27521,deg c
eps_temp[0],00-16,22,deg c
eps_temp[1],00-17,23,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-16,22,deg c
batt_temp[0],00-15,21,deg c
batt_temp[1],00-15,21,deg c
rxdoppler,00-AF,-19963.4,hz
rxrssi,00-C6,-146.06,dbm
txrefl,00-41,65,mw
txfrow,00-39,57,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-07,7,none
last_resets,5D-1B-20-57,02/07/2019 09:13:59,sec
states,30,48,none
