Packet ID,2971
Packet Ground Date Time,03/10/2019 14:02:00
Packet Sat Date Time,03/07/2019 23:42:13
Packet Total Raw Data,1E-48-00-78-00-03-00-00-08-CB-08-CF-00-15-00-16-00-16-00-16-00-15-00-15-00-C7-00-A7-00-40-00-38-00-00-00-00-00-00-00-03-00-00-00-00-08-5D-1D-3D-1A-30

Parameter Name,Raw Data,Value,Unit
vbatt,1E-48,7752,mv
batt_curr,00-78,120,ma
3v3_curr,00-03,3,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-CB,22.97451,deg c
patrxvu_temp,08-CF,22.66775,deg c
eps_temp[0],00-15,21,deg c
eps_temp[1],00-16,22,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-16,22,deg c
batt_temp[0],00-15,21,deg c
batt_temp[1],00-15,21,deg c
rxdoppler,00-C7,-19642.952,hz
rxrssi,00-A7,-146.99,dbm
txrefl,00-40,64,mw
txfrow,00-38,56,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-08,8,none
last_resets,5D-1D-3D-1A,03/07/2019 23:41:14,sec
states,30,48,none
