Packet ID,2974
Packet Ground Date Time,03/10/2019 14:02:39
Packet Sat Date Time,03/07/2019 23:42:53
Packet Total Raw Data,1D-5A-02-0C-00-03-00-00-08-C6-08-4E-00-15-00-16-00-16-00-16-00-15-00-15-00-9A-00-0C-00-E9-00-25-00-00-00-00-00-00-00-03-00-00-00-00-08-5D-1D-3D-1A-B0

Parameter Name,Raw Data,Value,Unit
vbatt,1D-5A,7514,mv
batt_curr,02-0C,524,ma
3v3_curr,00-03,3,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-C6,23.35796,deg c
patrxvu_temp,08-4E,32.56076,deg c
eps_temp[0],00-15,21,deg c
eps_temp[1],00-16,22,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-16,22,deg c
batt_temp[0],00-15,21,deg c
batt_temp[1],00-15,21,deg c
rxdoppler,00-9A,-20243.792,hz
rxrssi,00-0C,-151.64,dbm
txrefl,00-E9,233,mw
txfrow,00-25,37,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-08,8,none
last_resets,5D-1D-3D-1A,03/07/2019 23:41:14,sec
states,B0,176,none
