Packet ID,2976
Packet Ground Date Time,03/10/2019 14:03:34
Packet Sat Date Time,03/07/2019 23:43:27
Packet Total Raw Data,1D-5A-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-09-5D-1D-3D-92-B0

Parameter Name,Raw Data,Value,Unit
vbatt,1D-5A,7514,mv
batt_curr,00-00,0,ma
3v3_curr,00-00,0,ma
5v_curr,00-00,0,ma
lotrxvu_temp,00-00,195.6037,deg c
patrxvu_temp,00-00,195.6037,deg c
eps_temp[0],00-00,0,deg c
eps_temp[1],00-00,0,deg c
eps_temp[2],00-00,0,deg c
eps_temp[3],00-00,0,deg c
batt_temp[0],00-00,0,deg c
batt_temp[1],00-00,0,deg c
rxdoppler,00-00,-22300,hz
rxrssi,00-00,-152,dbm
txrefl,00-00,0,mw
txfrow,00-00,0,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,00,0,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-09,9,none
last_resets,5D-1D-3D-92,03/07/2019 23:43:14,sec
states,B0,176,none
