Packet ID,2977
Packet Ground Date Time,03/10/2019 14:03:54
Packet Sat Date Time,03/07/2019 23:43:47
Packet Total Raw Data,1E-48-00-84-00-03-00-00-08-9A-08-6E-00-16-00-16-00-16-00-16-00-15-00-15-00-85-00-C9-00-41-00-3B-00-00-00-00-00-00-00-03-00-00-00-00-09-5D-1D-3D-92-B0

Parameter Name,Raw Data,Value,Unit
vbatt,1E-48,7752,mv
batt_curr,00-84,132,ma
3v3_curr,00-03,3,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-9A,26.73232,deg c
patrxvu_temp,08-6E,30.10668,deg c
eps_temp[0],00-16,22,deg c
eps_temp[1],00-16,22,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-16,22,deg c
batt_temp[0],00-15,21,deg c
batt_temp[1],00-15,21,deg c
rxdoppler,00-85,-20524.184,hz
rxrssi,00-C9,-145.97,dbm
txrefl,00-41,65,mw
txfrow,00-3B,59,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-09,9,none
last_resets,5D-1D-3D-92,03/07/2019 23:43:14,sec
states,B0,176,none
