Packet ID,2978
Packet Ground Date Time,03/10/2019 14:04:15
Packet Sat Date Time,03/07/2019 23:44:07
Packet Total Raw Data,1E-48-00-84-00-03-00-00-08-9F-08-8A-00-16-00-16-00-16-00-16-00-15-00-15-00-AF-00-9C-00-41-00-39-00-00-00-00-00-00-00-03-00-00-00-00-09-5D-1D-3D-92-B0

Parameter Name,Raw Data,Value,Unit
vbatt,1E-48,7752,mv
batt_curr,00-84,132,ma
3v3_curr,00-03,3,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-9F,26.34887,deg c
patrxvu_temp,08-8A,27.95936,deg c
eps_temp[0],00-16,22,deg c
eps_temp[1],00-16,22,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-16,22,deg c
batt_temp[0],00-15,21,deg c
batt_temp[1],00-15,21,deg c
rxdoppler,00-AF,-19963.4,hz
rxrssi,00-9C,-147.32,dbm
txrefl,00-41,65,mw
txfrow,00-39,57,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-09,9,none
last_resets,5D-1D-3D-92,03/07/2019 23:43:14,sec
states,B0,176,none
