Packet ID,2980
Packet Ground Date Time,03/10/2019 14:15:42
Packet Sat Date Time,03/07/2019 23:45:48
Packet Total Raw Data,1E-48-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-0E-5D-1D-3D-ED-B0

Parameter Name,Raw Data,Value,Unit
vbatt,1E-48,7752,mv
batt_curr,00-00,0,ma
3v3_curr,00-00,0,ma
5v_curr,00-00,0,ma
lotrxvu_temp,00-00,195.6037,deg c
patrxvu_temp,00-00,195.6037,deg c
eps_temp[0],00-00,0,deg c
eps_temp[1],00-00,0,deg c
eps_temp[2],00-00,0,deg c
eps_temp[3],00-00,0,deg c
batt_temp[0],00-00,0,deg c
batt_temp[1],00-00,0,deg c
rxdoppler,00-00,-22300,hz
rxrssi,00-00,-152,dbm
txrefl,00-00,0,mw
txfrow,00-00,0,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,00,0,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-0E,14,none
last_resets,5D-1D-3D-ED,03/07/2019 23:44:45,sec
states,B0,176,none
