Packet ID,2983
Packet Ground Date Time,03/10/2019 14:19:54
Packet Sat Date Time,03/07/2019 23:46:48
Packet Total Raw Data,1E-48-00-78-00-03-00-00-08-AF-08-AF-00-16-00-17-00-16-00-16-00-15-00-16-00-BB-00-B1-00-41-00-38-00-00-00-00-00-00-00-03-00-00-00-00-0F-5D-1D-3E-47-B0

Parameter Name,Raw Data,Value,Unit
vbatt,1E-48,7752,mv
batt_curr,00-78,120,ma
3v3_curr,00-03,3,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-AF,25.12183,deg c
patrxvu_temp,08-AF,25.12183,deg c
eps_temp[0],00-16,22,deg c
eps_temp[1],00-17,23,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-16,22,deg c
batt_temp[0],00-15,21,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-BB,-19803.176,hz
rxrssi,00-B1,-146.69,dbm
txrefl,00-41,65,mw
txfrow,00-38,56,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-0F,15,none
last_resets,5D-1D-3E-47,03/07/2019 23:46:15,sec
states,B0,176,none
