Packet ID,2985
Packet Ground Date Time,03/10/2019 14:20:23
Packet Sat Date Time,03/07/2019 23:47:18
Packet Total Raw Data,1D-5A-02-30-00-03-00-00-08-B0-08-45-00-16-00-17-00-16-00-16-00-15-00-16-00-C6-00-F1-00-B8-00-01-00-00-00-00-00-00-00-03-00-00-00-00-0F-5D-1D-3E-47-B0

Parameter Name,Raw Data,Value,Unit
vbatt,1D-5A,7514,mv
batt_curr,02-30,560,ma
3v3_curr,00-03,3,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-B0,25.04514,deg c
patrxvu_temp,08-45,33.25097,deg c
eps_temp[0],00-16,22,deg c
eps_temp[1],00-17,23,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-16,22,deg c
batt_temp[0],00-15,21,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-C6,-19656.304,hz
rxrssi,00-F1,-144.77,dbm
txrefl,00-B8,184,mw
txfrow,00-01,1,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-0F,15,none
last_resets,5D-1D-3E-47,03/07/2019 23:46:15,sec
states,B0,176,none
