Packet ID,2990
Packet Ground Date Time,03/10/2019 14:34:55
Packet Sat Date Time,30/06/2019 00:02:44
Packet Total Raw Data,1D-3E-02-30-00-15-00-00-08-73-07-A7-00-16-00-17-00-16-00-16-00-16-00-16-00-C6-00-FD-00-9B-00-8A-00-00-00-00-00-00-00-03-00-00-00-00-01-FF-FF-FF-FE-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-3E,7486,mv
batt_curr,02-30,560,ma
3v3_curr,00-15,21,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-73,29.72323,deg c
patrxvu_temp,07-A7,45.36799,deg c
eps_temp[0],00-16,22,deg c
eps_temp[1],00-17,23,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-16,22,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-C6,-19656.304,hz
rxrssi,00-FD,-144.41,dbm
txrefl,00-9B,155,mw
txfrow,00-8A,138,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-01,1,none
last_resets,FF-FF-FF-FE,07/02/2106 06:28:14,sec
states,70,112,none
