Packet ID,2991
Packet Ground Date Time,03/10/2019 14:35:15
Packet Sat Date Time,30/06/2019 00:03:04
Packet Total Raw Data,1D-47-02-3C-00-15-00-00-08-6A-07-9A-00-16-00-17-00-16-00-16-00-16-00-16-00-9A-00-06-00-60-00-1F-00-00-00-00-00-00-00-03-00-00-00-00-01-FF-FF-FF-FE-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-47,7495,mv
batt_curr,02-3C,572,ma
3v3_curr,00-15,21,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-6A,30.41344,deg c
patrxvu_temp,07-9A,46.36496,deg c
eps_temp[0],00-16,22,deg c
eps_temp[1],00-17,23,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-16,22,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-9A,-20243.792,hz
rxrssi,00-06,-151.82,dbm
txrefl,00-60,96,mw
txfrow,00-1F,31,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-01,1,none
last_resets,FF-FF-FF-FE,07/02/2106 06:28:14,sec
states,70,112,none
