Packet ID,2992
Packet Ground Date Time,03/10/2019 14:35:36
Packet Sat Date Time,30/06/2019 00:03:24
Packet Total Raw Data,1D-47-02-3C-00-15-00-00-08-61-07-91-00-16-00-17-00-16-00-16-00-16-00-16-00-A2-00-DA-00-CB-00-3E-00-00-00-00-00-00-00-03-00-00-00-00-01-FF-FF-FF-FE-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-47,7495,mv
batt_curr,02-3C,572,ma
3v3_curr,00-15,21,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-61,31.10365,deg c
patrxvu_temp,07-91,47.05517,deg c
eps_temp[0],00-16,22,deg c
eps_temp[1],00-17,23,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-16,22,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-A2,-20136.976,hz
rxrssi,00-DA,-145.46,dbm
txrefl,00-CB,203,mw
txfrow,00-3E,62,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-01,1,none
last_resets,FF-FF-FF-FE,07/02/2106 06:28:14,sec
states,70,112,none
