Packet ID,2995
Packet Ground Date Time,03/10/2019 14:36:35
Packet Sat Date Time,30/06/2019 00:04:24
Packet Total Raw Data,1D-47-02-18-00-15-00-00-08-4C-07-7B-00-16-00-17-00-16-00-16-00-16-00-16-00-A5-00-02-00-87-00-C4-00-00-00-00-00-00-00-03-00-00-00-00-01-FF-FF-FF-FE-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-47,7495,mv
batt_curr,02-18,536,ma
3v3_curr,00-15,21,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-4C,32.71414,deg c
patrxvu_temp,07-7B,48.74235,deg c
eps_temp[0],00-16,22,deg c
eps_temp[1],00-17,23,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-16,22,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-A5,-20096.92,hz
rxrssi,00-02,-151.94,dbm
txrefl,00-87,135,mw
txfrow,00-C4,196,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-01,1,none
last_resets,FF-FF-FF-FE,07/02/2106 06:28:14,sec
states,70,112,none
