Packet ID,3002
Packet Ground Date Time,03/10/2019 14:38:55
Packet Sat Date Time,30/06/2019 00:06:43
Packet Total Raw Data,1E-3E-00-84-00-17-00-00-08-57-08-45-00-17-00-17-00-16-00-17-00-16-00-16-00-9B-00-A5-00-42-00-3B-00-00-00-00-00-00-00-03-00-00-00-00-01-FF-FF-FF-FE-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-3E,7742,mv
batt_curr,00-84,132,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-57,31.87055,deg c
patrxvu_temp,08-45,33.25097,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-17,23,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-9B,-20230.44,hz
rxrssi,00-A5,-147.05,dbm
txrefl,00-42,66,mw
txfrow,00-3B,59,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-01,1,none
last_resets,FF-FF-FF-FE,07/02/2106 06:28:14,sec
states,70,112,none
