Packet ID,3003
Packet Ground Date Time,03/10/2019 14:39:15
Packet Sat Date Time,30/06/2019 00:07:03
Packet Total Raw Data,1E-3E-00-84-00-17-00-00-08-64-08-5C-00-17-00-17-00-16-00-17-00-16-00-16-00-87-00-BD-00-41-00-3B-00-00-00-00-00-00-00-03-00-00-00-00-01-FF-FF-FF-FE-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-3E,7742,mv
batt_curr,00-84,132,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-64,30.87358,deg c
patrxvu_temp,08-5C,31.4871,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-17,23,deg c
eps_temp[2],00-16,22,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-87,-20497.48,hz
rxrssi,00-BD,-146.33,dbm
txrefl,00-41,65,mw
txfrow,00-3B,59,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-01,1,none
last_resets,FF-FF-FF-FE,07/02/2106 06:28:14,sec
states,70,112,none
