Packet ID,3010
Packet Ground Date Time,03/10/2019 14:42:15
Packet Sat Date Time,30/06/2019 00:10:03
Packet Total Raw Data,1E-3E-00-78-00-17-00-00-08-9F-08-A6-00-17-00-18-00-17-00-17-00-16-00-16-00-CC-00-AD-00-41-00-39-00-00-00-00-00-00-00-03-00-00-00-00-01-FF-FF-FF-FE-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-3E,7742,mv
batt_curr,00-78,120,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-9F,26.34887,deg c
patrxvu_temp,08-A6,25.81204,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-CC,-19576.192,hz
rxrssi,00-AD,-146.81,dbm
txrefl,00-41,65,mw
txfrow,00-39,57,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
fs lat error,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-01,1,none
last_resets,FF-FF-FF-FE,07/02/2106 06:28:14,sec
states,70,112,none
