Packet ID,3019
Packet Ground Date Time,03/10/2019 14:48:26
Packet Sat Date Time,30/06/2019 00:13:26
Packet Total Raw Data,1E-3E-00-78-00-15-00-00-08-B8-08-BC-00-17-00-18-00-17-00-17-00-16-00-16-00-AE-00-C8-00-41-00-38-00-00-00-00-00-00-00-03-00-00-00-00-02-5D-17-FE-7D-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-3E,7742,mv
batt_curr,00-78,120,ma
3v3_curr,00-15,21,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-B8,24.43162,deg c
patrxvu_temp,08-BC,24.12486,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-AE,-19976.752,hz
rxrssi,00-C8,-146,dbm
txrefl,00-41,65,mw
txfrow,00-38,56,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-02,2,none
last_resets,5D-17-FE-7D,30/06/2019 00:12:45,sec
states,70,112,none
