Packet ID,3023
Packet Ground Date Time,03/10/2019 14:49:06
Packet Sat Date Time,30/06/2019 00:14:06
Packet Total Raw Data,1D-47-02-18-00-15-00-00-08-A5-08-06-00-17-00-18-00-17-00-17-00-16-00-16-00-B7-00-0E-00-CC-00-C7-00-00-00-00-00-00-00-03-00-00-00-00-02-5D-17-FE-7D-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-47,7495,mv
batt_curr,02-18,536,ma
3v3_curr,00-15,21,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-A5,25.88873,deg c
patrxvu_temp,08-06,38.08244,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-B7,-19856.584,hz
rxrssi,00-0E,-151.58,dbm
txrefl,00-CC,204,mw
txfrow,00-C7,199,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-02,2,none
last_resets,5D-17-FE-7D,30/06/2019 00:12:45,sec
states,70,112,none
