Packet ID,3028
Packet Ground Date Time,03/10/2019 14:50:26
Packet Sat Date Time,30/06/2019 00:15:26
Packet Total Raw Data,1D-3E-02-30-00-17-00-00-08-6F-07-A2-00-17-00-18-00-17-00-17-00-16-00-16-00-A2-00-F7-00-88-00-8E-00-00-00-00-00-00-00-03-00-00-00-00-02-5D-17-FE-7D-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-3E,7486,mv
batt_curr,02-30,560,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-6F,30.02999,deg c
patrxvu_temp,07-A2,45.75144,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-A2,-20136.976,hz
rxrssi,00-F7,-144.59,dbm
txrefl,00-88,136,mw
txfrow,00-8E,142,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-02,2,none
last_resets,5D-17-FE-7D,30/06/2019 00:12:45,sec
states,70,112,none
