Packet ID,3029
Packet Ground Date Time,03/10/2019 14:50:46
Packet Sat Date Time,30/06/2019 00:15:46
Packet Total Raw Data,1D-3E-02-30-00-19-00-00-08-64-07-96-00-17-00-18-00-17-00-17-00-16-00-16-00-8C-00-FC-00-96-00-B7-00-00-00-00-00-00-00-03-00-00-00-00-02-5D-17-FE-7D-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-3E,7486,mv
batt_curr,02-30,560,ma
3v3_curr,00-19,25,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-64,30.87358,deg c
patrxvu_temp,07-96,46.67172,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-8C,-20430.72,hz
rxrssi,00-FC,-144.44,dbm
txrefl,00-96,150,mw
txfrow,00-B7,183,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-02,2,none
last_resets,5D-17-FE-7D,30/06/2019 00:12:45,sec
states,70,112,none
