Packet ID,3032
Packet Ground Date Time,03/10/2019 14:51:26
Packet Sat Date Time,30/06/2019 00:16:27
Packet Total Raw Data,1D-47-02-48-00-17-00-00-08-54-07-83-00-17-00-18-00-17-00-17-00-16-00-16-00-B1-00-DB-00-90-00-3D-00-00-00-00-00-00-00-03-00-00-00-00-02-5D-17-FE-7D-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-47,7495,mv
batt_curr,02-48,584,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-54,32.10062,deg c
patrxvu_temp,07-83,48.12883,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-B1,-19936.696,hz
rxrssi,00-DB,-145.43,dbm
txrefl,00-90,144,mw
txfrow,00-3D,61,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-02,2,none
last_resets,5D-17-FE-7D,30/06/2019 00:12:45,sec
states,70,112,none
