Packet ID,3033
Packet Ground Date Time,03/10/2019 14:51:46
Packet Sat Date Time,30/06/2019 00:16:47
Packet Total Raw Data,1D-47-02-30-00-17-00-00-08-4D-07-7C-00-17-00-18-00-17-00-17-00-16-00-16-00-AF-00-E1-00-90-00-13-00-00-00-00-00-00-00-03-00-00-00-00-02-5D-17-FE-7D-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-47,7495,mv
batt_curr,02-30,560,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-4D,32.63745,deg c
patrxvu_temp,07-7C,48.66566,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-AF,-19963.4,hz
rxrssi,00-E1,-145.25,dbm
txrefl,00-90,144,mw
txfrow,00-13,19,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-02,2,none
last_resets,5D-17-FE-7D,30/06/2019 00:12:45,sec
states,70,112,none
