Packet ID,3037
Packet Ground Date Time,03/10/2019 14:54:25
Packet Sat Date Time,30/06/2019 00:19:02
Packet Total Raw Data,1E-3E-00-84-00-17-00-00-08-79-08-7B-00-17-00-18-00-17-00-17-00-16-00-16-00-AA-00-CD-00-42-00-3A-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FF-7B-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-3E,7742,mv
batt_curr,00-84,132,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-79,29.26309,deg c
patrxvu_temp,08-7B,29.10971,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-AA,-20030.16,hz
rxrssi,00-CD,-145.85,dbm
txrefl,00-42,66,mw
txfrow,00-3A,58,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FF-7B,30/06/2019 00:16:59,sec
states,70,112,none
