Packet ID,3052
Packet Ground Date Time,03/10/2019 15:07:11
Packet Sat Date Time,30/06/2019 00:06:06
Packet Total Raw Data,1D-3E-02-48-00-17-00-00-08-B3-08-30-00-17-00-18-00-17-00-17-00-16-00-16-00-B8-00-FB-00-B5-00-30-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-3E,7486,mv
batt_curr,02-48,584,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-B3,24.81507,deg c
patrxvu_temp,08-30,34.86146,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-B8,-19843.232,hz
rxrssi,00-FB,-144.47,dbm
txrefl,00-B5,181,mw
txfrow,00-30,48,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
