Packet ID,3058
Packet Ground Date Time,03/10/2019 15:08:11
Packet Sat Date Time,30/06/2019 00:07:05
Packet Total Raw Data,1D-47-02-48-00-19-00-00-08-84-07-C0-00-17-00-18-00-17-00-17-00-16-00-16-00-92-00-DA-00-8E-00-05-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-47,7495,mv
batt_curr,02-48,584,ma
3v3_curr,00-19,25,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-84,28.4195,deg c
patrxvu_temp,07-C0,43.45074,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-92,-20350.608,hz
rxrssi,00-DA,-145.46,dbm
txrefl,00-8E,142,mw
txfrow,00-05,5,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
