Packet ID,3060
Packet Ground Date Time,03/10/2019 15:08:51
Packet Sat Date Time,30/06/2019 00:07:46
Packet Total Raw Data,1D-47-02-24-00-19-00-00-08-6D-07-9F-00-17-00-18-00-17-00-17-00-16-00-16-00-98-00-EA-00-B9-00-83-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-47,7495,mv
batt_curr,02-24,548,ma
3v3_curr,00-19,25,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-6D,30.18337,deg c
patrxvu_temp,07-9F,45.98151,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-98,-20270.496,hz
rxrssi,00-EA,-144.98,dbm
txrefl,00-B9,185,mw
txfrow,00-83,131,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
