Packet ID,3066
Packet Ground Date Time,03/10/2019 15:09:51
Packet Sat Date Time,30/06/2019 00:08:46
Packet Total Raw Data,1D-3E-02-3C-00-17-00-00-08-53-07-81-00-17-00-18-00-17-00-17-00-16-00-16-00-A0-00-FF-00-99-00-9A-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-3E,7486,mv
batt_curr,02-3C,572,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-53,32.17731,deg c
patrxvu_temp,07-81,48.28221,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-A0,-20163.68,hz
rxrssi,00-FF,-144.35,dbm
txrefl,00-99,153,mw
txfrow,00-9A,154,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
