Packet ID,3070
Packet Ground Date Time,03/10/2019 15:10:31
Packet Sat Date Time,30/06/2019 00:09:26
Packet Total Raw Data,1D-3E-02-24-00-17-00-00-08-46-07-75-00-17-00-18-00-17-00-17-00-16-00-16-00-B6-00-36-00-78-00-72-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-3E,7486,mv
batt_curr,02-24,548,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-46,33.17428,deg c
patrxvu_temp,07-75,49.20249,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-B6,-19869.936,hz
rxrssi,00-36,-150.38,dbm
txrefl,00-78,120,mw
txfrow,00-72,114,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
