Packet ID,3071
Packet Ground Date Time,03/10/2019 15:10:51
Packet Sat Date Time,30/06/2019 00:09:46
Packet Total Raw Data,1D-47-02-18-00-19-00-00-08-40-07-6F-00-17-00-18-00-17-00-17-00-16-00-16-00-B8-00-16-00-52-00-54-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-47,7495,mv
batt_curr,02-18,536,ma
3v3_curr,00-19,25,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-40,33.63442,deg c
patrxvu_temp,07-6F,49.66263,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-B8,-19843.232,hz
rxrssi,00-16,-151.34,dbm
txrefl,00-52,82,mw
txfrow,00-54,84,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
