Packet ID,3074
Packet Ground Date Time,03/10/2019 15:13:13
Packet Sat Date Time,30/06/2019 00:12:09
Packet Total Raw Data,1E-3E-00-90-00-17-00-00-08-55-08-47-00-17-00-18-00-17-00-17-00-17-00-17-00-8C-00-B0-00-41-00-3B-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-3E,7742,mv
batt_curr,00-90,144,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-55,32.02393,deg c
patrxvu_temp,08-47,33.09759,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-8C,-20430.72,hz
rxrssi,00-B0,-146.72,dbm
txrefl,00-41,65,mw
txfrow,00-3B,59,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
