Packet ID,3079
Packet Ground Date Time,03/10/2019 15:13:57
Packet Sat Date Time,30/06/2019 00:12:52
Packet Total Raw Data,1D-50-02-30-00-15-00-00-08-62-07-D0-00-17-00-18-00-17-00-17-00-17-00-17-00-A4-00-E9-00-AA-00-9E-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-50,7504,mv
batt_curr,02-30,560,ma
3v3_curr,00-15,21,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-62,31.02696,deg c
patrxvu_temp,07-D0,42.2237,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-A4,-20110.272,hz
rxrssi,00-E9,-145.01,dbm
txrefl,00-AA,170,mw
txfrow,00-9E,158,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
