Packet ID,3080
Packet Ground Date Time,03/10/2019 15:14:17
Packet Sat Date Time,30/06/2019 00:13:13
Packet Total Raw Data,1D-3E-02-30-00-17-00-00-08-5A-07-AB-00-17-00-18-00-17-00-17-00-17-00-17-00-8E-00-05-00-94-00-E2-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-3E,7486,mv
batt_curr,02-30,560,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-5A,31.64048,deg c
patrxvu_temp,07-AB,45.06123,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-8E,-20404.016,hz
rxrssi,00-05,-151.85,dbm
txrefl,00-94,148,mw
txfrow,00-E2,226,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
