Packet ID,3091
Packet Ground Date Time,03/10/2019 15:15:17
Packet Sat Date Time,30/06/2019 00:14:12
Packet Total Raw Data,1D-3E-02-48-00-15-00-00-08-44-07-7B-00-17-00-18-00-17-00-17-00-17-00-17-00-BB-00-FF-00-A1-00-08-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-3E,7486,mv
batt_curr,02-48,584,ma
3v3_curr,00-15,21,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-44,33.32766,deg c
patrxvu_temp,07-7B,48.74235,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-BB,-19803.176,hz
rxrssi,00-FF,-144.35,dbm
txrefl,00-A1,161,mw
txfrow,00-08,8,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
