Packet ID,3092
Packet Ground Date Time,03/10/2019 15:15:37
Packet Sat Date Time,30/06/2019 00:14:32
Packet Total Raw Data,1D-3E-02-3C-00-15-00-00-08-3E-07-72-00-17-00-18-00-17-00-17-00-17-00-17-00-A7-00-1F-00-73-00-4D-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-3E,7486,mv
batt_curr,02-3C,572,ma
3v3_curr,00-15,21,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-3E,33.7878,deg c
patrxvu_temp,07-72,49.43256,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-A7,-20070.216,hz
rxrssi,00-1F,-151.07,dbm
txrefl,00-73,115,mw
txfrow,00-4D,77,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
