Packet ID,3094
Packet Ground Date Time,03/10/2019 15:16:17
Packet Sat Date Time,30/06/2019 00:15:12
Packet Total Raw Data,1D-47-02-30-00-12-00-00-08-35-07-66-00-17-00-18-00-17-00-17-00-17-00-17-00-CB-00-0E-00-95-00-96-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-47,7495,mv
batt_curr,02-30,560,ma
3v3_curr,00-12,18,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-35,34.47801,deg c
patrxvu_temp,07-66,50.35284,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-CB,-19589.544,hz
rxrssi,00-0E,-151.58,dbm
txrefl,00-95,149,mw
txfrow,00-96,150,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
