Packet ID,3112
Packet Ground Date Time,03/10/2019 15:17:37
Packet Sat Date Time,30/06/2019 00:16:32
Packet Total Raw Data,1D-3E-02-24-00-17-00-00-08-26-07-56-00-17-00-18-00-17-00-18-00-17-00-17-00-F1-00-54-00-73-00-88-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-3E,7486,mv
batt_curr,02-24,548,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-26,35.62836,deg c
patrxvu_temp,07-56,51.57988,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-18,24,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-F1,-19082.168,hz
rxrssi,00-54,-149.48,dbm
txrefl,00-73,115,mw
txfrow,00-88,136,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
